L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,0.0,0.0,0.0,0.0,0.06,0.5,-0.87,-0.67,-0.18,-0.67,163.0,0.0,0.0,0.0,0.0,1.18,-1.37,-7.91,38.39,-28.25,-8.17
0.0,0.0,0.0,0.0,0.0,0.07,0.54,-0.88,-0.36,5.24,1.03,144.0,2.0,0.0,0.0,0.0,1.11,-1.32,-7.83,109.43,-60.79,-0.67
0.0,0.0,0.0,0.0,0.0,0.12,0.66,-0.95,4.45,18.37,11.84,73.0,5.0,0.0,0.0,0.0,1.14,-1.42,-7.7,202.33,-105.4,26.0
0.0,0.0,0.0,0.0,0.0,0.08,0.74,-1.01,15.99,36.13,27.16,0.0,4.0,0.0,0.0,0.0,1.31,-0.96,-7.64,188.9,-75.98,57.0
0.0,0.0,0.0,0.0,0.0,0.03,0.83,-1.06,27.03,51.08,40.89,0.0,9.0,0.0,0.0,0.0,1.37,-0.35,-8.07,67.32,-41.32,-18.18
0.0,0.0,0.0,0.0,0.0,-0.01,0.91,-1.08,27.34,60.05,51.63,0.0,9.0,0.0,0.0,0.0,1.41,-0.9,-7.92,-100.58,9.88,-20.14
0.0,0.0,0.0,0.0,0.0,-0.04,0.96,-1.07,23.07,64.27,62.13,0.0,9.0,0.0,0.0,0.0,1.52,-1.2,-8.23,17.51,14.83,-19.1
0.0,0.0,0.0,0.0,0.0,0.02,0.96,-1.07,27.64,70.06,82.58,0.0,10.0,0.0,0.0,0.0,1.5,-1.06,-7.98,25.57,29.72,-39.91
0.0,0.0,0.0,0.0,0.0,-0.06,1.02,-1.02,44.0,89.29,98.87,0.0,9.0,0.0,0.0,0.0,1.42,-0.85,-7.91,-9.64,59.08,-65.12
0.0,0.0,0.0,0.0,0.0,-0.15,1.07,-0.98,59.75,104.06,121.82,0.0,8.0,0.0,0.0,0.0,1.37,-0.94,-7.89,-142.88,94.36,-95.09
0.0,0.0,0.0,0.0,0.0,-0.26,1.04,-0.85,65.67,105.04,143.98,0.0,10.0,0.0,0.0,0.0,1.44,-1.31,-8.02,-212.58,106.07,-89.9
