L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
214.0,12.0,0.0,67.0,0.0,-0.85,0.79,-0.16,-7.44,-1.52,-0.48,9.0,0.0,0.0,0.0,0.0,-5.87,-7.98,-5.34,111.51,-49.68,187.77
216.0,12.0,0.0,78.0,0.0,-0.44,1.02,-0.21,-1.64,-1.15,27.64,14.0,0.0,0.0,0.0,0.0,-6.0,-7.02,-5.02,154.6,40.1,73.46
206.0,13.0,0.0,78.0,0.0,-0.93,0.96,-0.16,-18.43,-13.18,25.45,15.0,0.0,0.0,0.0,0.0,-5.7,-5.03,-5.53,73.73,310.24,22.49
178.0,12.0,0.0,81.0,0.0,-1.0,0.88,-0.22,-19.83,-25.02,37.53,14.0,0.0,0.0,0.0,0.0,-5.86,-6.08,-5.9,16.66,-290.19,-83.95
172.0,17.0,0.0,80.0,0.0,-0.98,0.8,-0.31,-10.68,-26.85,51.94,15.0,0.0,0.0,0.0,0.0,-6.03,-5.6,-6.93,-37.35,-154.08,-186.19
150.0,0.0,0.0,80.0,0.0,-0.95,0.78,-0.33,-13.61,-21.91,61.95,20.0,0.0,0.0,0.0,0.0,-6.77,-5.39,-6.31,15.74,-86.21,-283.78
0.0,0.0,0.0,80.0,0.0,-0.95,0.74,-0.38,-21.6,-13.36,64.81,22.0,0.0,0.0,0.0,0.0,-6.42,-5.05,-6.26,274.23,-115.75,302.73
0.0,0.0,0.0,81.0,0.0,-0.9,0.71,-0.44,-35.58,-10.98,74.7,20.0,0.0,0.0,0.0,0.0,-6.36,-4.24,-6.14,-87.43,-172.82,314.57
89.0,0.0,0.0,81.0,0.0,-0.87,0.64,-0.45,-39.12,-13.79,89.47,13.0,7.0,0.0,0.0,0.0,-5.99,-3.64,-5.5,196.75,-191.56,-235.02
88.0,0.0,8.0,81.0,0.0,-0.89,0.66,-0.53,-28.5,0.97,112.91,8.0,30.0,47.0,0.0,0.0,-6.51,-2.28,-5.93,-292.17,-197.24,-21.88
59.0,0.0,8.0,79.0,0.0,-0.85,0.65,-0.46,-32.95,4.88,125.79,0.0,60.0,104.0,0.0,0.0,-5.85,-1.22,-6.18,-204.89,-103.97,-140.35
88.0,11.0,0.0,68.0,0.0,-0.87,0.53,-0.54,-49.37,3.05,126.34,0.0,83.0,96.0,0.0,0.0,-5.09,-2.04,-5.77,305.82,115.08,230.1
106.0,38.0,3.0,77.0,0.0,-0.79,0.56,-0.56,-45.77,8.48,138.18,0.0,118.0,124.0,0.0,0.0,-5.7,-1.86,-4.96,221.95,76.45,261.65
0.0,35.0,22.0,66.0,0.0,-0.85,0.47,-0.48,-43.57,14.89,147.76,0.0,90.0,139.0,0.0,0.0,-6.1,-0.44,-4.48,143.52,-29.39,-295.44
0.0,53.0,17.0,67.0,0.0,-0.85,0.29,-0.48,-63.29,0.73,142.15,0.0,73.0,117.0,0.0,0.0,-5.88,-0.78,-3.84,-225.07,-101.72,-188.75
0.0,70.0,8.0,78.0,0.0,-0.77,0.27,-0.39,-60.3,-4.63,147.27,0.0,75.0,42.0,0.0,0.0,-5.84,2.42,-7.17,108.94,15.9,-216.89
0.0,76.0,15.0,78.0,0.0,-0.77,0.17,-0.41,-44.49,-2.13,148.19,0.0,76.0,13.0,0.0,0.0,-5.87,0.5,-2.74,303.46,4.73,-128.08
0.0,77.0,8.0,67.0,0.0,-0.67,-0.06,-0.63,-6.83,8.36,144.59,0.0,30.0,4.0,1.0,0.0,-6.53,-0.52,-3.66,168.61,-193.33,-128.88
0.0,74.0,9.0,64.0,0.0,-0.78,-0.01,-0.55,56.64,30.09,153.19,0.0,44.0,3.0,2.0,0.0,-4.33,0.49,-2.31,-15.66,-164.7,-173.61
0.0,74.0,16.0,62.0,0.0,-0.78,0.09,-0.3,38.87,16.17,141.9,0.0,37.0,3.0,2.0,0.0,-4.66,2.34,-4.11,-183.32,-229.03,135.65
0.0,56.0,32.0,67.0,0.0,-0.75,0.09,-0.24,-18.85,-14.4,118.53,0.0,0.0,0.0,0.0,0.0,-5.83,1.78,-1.39,57.61,-293.49,50.87
0.0,56.0,44.0,64.0,0.0,-0.84,-0.06,-0.25,-23.49,-13.0,103.82,0.0,0.0,18.0,0.0,0.0,-5.92,1.03,-2.27,56.51,-325.65,111.54
0.0,57.0,49.0,66.0,0.0,-0.69,-0.09,-0.23,-12.45,-1.77,99.18,0.0,0.0,0.0,0.0,0.0,-5.91,1.21,-2.59,122.19,213.68,198.52
0.0,75.0,24.0,66.0,0.0,-0.77,-0.1,-0.24,7.14,-8.54,94.54,0.0,0.0,0.0,0.0,0.0,-5.75,1.66,-2.8,258.6,289.24,254.43
0.0,37.0,0.0,66.0,0.0,-0.77,-0.09,-0.23,-2.56,-19.89,80.62,0.0,0.0,0.0,0.0,0.0,-5.73,1.66,-2.33,232.17,-316.62,165.62
0.0,8.0,0.0,0.0,0.0,-0.73,-0.41,-0.44,-32.59,-39.3,61.15,0.0,0.0,0.0,0.0,0.0,-6.02,1.19,-2.3,238.89,315.97,116.61
0.0,8.0,0.0,0.0,0.0,-0.56,-0.34,-0.4,-10.0,-22.64,77.57,8.0,0.0,0.0,0.0,0.0,-5.69,2.26,-1.85,216.91,182.61,152.13
0.0,8.0,0.0,0.0,0.0,-0.65,-0.35,-0.4,5.43,-18.18,84.53,63.0,0.0,0.0,0.0,0.0,-5.4,2.08,-3.16,96.98,268.73,99.46
