L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,89.0,0.0,0.0,0.0,-0.56,0.7,-0.43,-2.44,1.64,-0.54,17.0,0.0,0.0,0.0,0.0,-2.77,-3.37,-6.79,44.0,-24.53,63.59
0.0,88.0,0.0,50.0,0.0,-0.6,0.68,-0.4,5.24,-1.7,5.24,66.0,11.0,0.0,0.0,0.0,-3.03,-3.42,-6.83,19.77,42.6,6.65
0.0,88.0,0.0,79.0,0.0,-0.61,0.7,-0.4,10.0,-11.9,11.16,68.0,11.0,0.0,0.0,0.0,-3.11,-3.54,-6.59,-37.84,58.22,85.81
0.0,88.0,0.0,97.0,0.0,-0.67,0.72,-0.33,25.26,-11.71,19.4,66.0,15.0,0.0,0.0,0.0,-3.02,-3.2,-4.4,-136.53,-124.38,36.07
0.0,87.0,0.0,106.0,0.0,-0.74,0.72,-0.31,29.41,-14.46,27.09,69.0,16.0,0.0,0.0,0.0,-3.16,-3.76,-6.67,4.15,87.28,-8.42
0.0,88.0,0.0,100.0,0.0,-0.88,0.5,-0.58,72.5,2.62,41.25,59.0,16.0,0.0,0.0,0.0,-6.12,-5.31,-6.6,-27.4,87.58,-98.57
0.0,86.0,0.0,126.0,0.0,-0.84,0.86,-0.35,13.67,-12.63,46.93,53.0,16.0,0.0,0.0,0.0,-3.53,-3.97,-6.72,-111.02,82.94,-106.44
0.0,72.0,0.0,133.0,0.0,-0.76,0.78,-0.35,-0.54,-13.36,52.36,42.0,15.0,0.0,0.0,0.0,-3.98,-4.47,-6.64,-177.3,18.92,-202.57
0.0,84.0,0.0,147.0,0.0,-0.79,0.72,-0.32,-14.64,-22.88,54.01,35.0,15.0,8.0,0.0,0.0,-3.96,-4.23,-6.51,-237.91,13.18,-302.97
0.0,79.0,69.0,151.0,0.0,-0.84,0.71,-0.33,-9.46,-34.17,66.95,29.0,16.0,35.0,0.0,0.0,-4.39,-4.85,-6.97,-238.28,44.31,183.32
