L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,127.0,0.0,203.0,0.0,-0.43,0.74,-0.49,-12.02,7.99,-3.05,202.0,0.0,0.0,0.0,0.0,-0.53,-4.08,-6.96,14.77,-151.36,14.95
0.0,143.0,0.0,213.0,0.0,-0.46,0.78,-0.48,-12.45,13.3,-1.95,239.0,0.0,0.0,0.0,1.0,-0.87,-4.49,-7.24,-68.84,-66.04,-60.42
0.0,170.0,0.0,213.0,0.0,-0.48,0.8,-0.47,-18.61,14.03,0.3,245.0,0.0,0.0,0.0,1.0,-0.94,-5.03,-7.53,-269.71,56.94,-99.06
0.0,242.0,0.0,220.0,0.0,-0.49,0.88,-0.5,-20.26,26.42,3.54,250.0,0.0,0.0,0.0,0.0,-1.53,-5.53,-7.89,260.22,164.73,-151.12
0.0,269.0,0.0,253.0,0.0,-0.44,0.96,-0.41,-1.09,41.25,12.69,252.0,0.0,0.0,0.0,0.0,-1.86,-7.15,-7.84,134.98,206.48,-236.75
0.0,305.0,0.0,259.0,0.0,-0.77,1.12,-0.37,25.45,42.11,29.9,263.0,0.0,0.0,0.0,0.0,-2.04,-8.67,-8.0,233.86,188.41,310.21
0.0,283.0,52.0,320.0,0.0,-1.07,1.48,-0.37,27.58,42.11,49.01,277.0,0.0,0.0,0.0,0.0,-1.85,-9.89,-9.1,-66.89,302.85,165.13
0.0,256.0,169.0,395.0,0.0,-1.04,1.55,-0.24,-0.61,-0.79,77.69,265.0,0.0,0.0,0.0,0.0,-2.64,-8.14,-8.59,70.73,-290.99,-37.02
0.0,372.0,226.0,493.0,0.0,-0.93,1.3,-0.36,-34.72,-21.24,101.74,237.0,15.0,0.0,0.0,0.0,-3.12,-8.2,-8.89,168.39,-287.2,-218.41
0.0,538.0,364.0,540.0,2.0,-0.94,1.02,-0.36,-14.46,-35.03,122.31,220.0,35.0,0.0,0.0,0.0,-3.37,-7.16,-8.23,114.8,-258.64,308.28
0.0,663.0,442.0,615.0,295.0,-0.8,0.91,-0.36,22.64,-5.43,117.67,214.0,35.0,0.0,0.0,0.0,-2.87,-5.94,-7.97,4.08,-220.06,197.99
0.0,761.0,533.0,640.0,459.0,-0.79,0.8,-0.29,34.17,-13.0,117.79,212.0,35.0,0.0,0.0,0.0,-3.7,-5.12,-7.67,-39.67,-233.0,93.44
0.0,812.0,629.0,697.0,638.0,-0.75,0.78,-0.3,28.56,-45.77,121.76,212.0,41.0,0.0,0.0,0.0,-0.71,-6.08,-8.11,-52.06,-319.73,106.68
0.0,853.0,726.0,798.0,772.0,-0.67,0.62,-0.28,13.42,-67.68,120.84,212.0,56.0,0.0,0.0,0.0,-3.39,-4.99,-7.65,141.54,-258.88,88.37
0.0,905.0,798.0,839.0,844.0,-0.6,0.49,-0.32,48.03,-88.8,117.49,190.0,52.0,0.0,0.0,0.0,-3.2,-3.91,-7.44,101.44,-181.18,19.1
0.0,950.0,862.0,883.0,907.0,-0.77,0.53,-0.45,34.85,-97.04,110.59,184.0,57.0,0.0,0.0,0.0,-2.5,-3.8,-7.06,100.03,-219.02,-42.85
0.0,969.0,899.0,880.0,921.0,-0.6,0.52,-0.55,13.85,-79.1,99.42,189.0,67.0,0.0,0.0,0.0,-3.2,-2.78,-6.81,308.16,-326.51,52.49
0.0,981.0,934.0,1000.0,939.0,-0.52,0.4,-0.58,-1.4,-93.01,98.63,157.0,73.0,0.0,0.0,0.0,-2.47,-1.85,-6.62,-138.21,310.72,122.55
0.0,992.0,941.0,1000.0,940.0,-0.48,0.27,-0.68,4.63,-92.59,86.48,132.0,67.0,0.0,0.0,0.0,-2.63,0.12,-6.22,-76.63,-291.17,197.5
0.0,1000.0,964.0,1000.0,950.0,-0.26,0.28,-0.7,8.91,-74.89,76.04,98.0,67.0,0.0,0.0,0.0,-3.09,0.08,-6.12,-234.83,-205.41,-295.44
0.0,1000.0,974.0,1000.0,951.0,-0.45,0.37,-0.72,-12.81,-77.94,73.73,62.0,56.0,0.0,0.0,0.0,-4.59,1.1,-5.85,-267.0,-252.35,-223.18
0.0,1000.0,978.0,1000.0,956.0,-0.51,0.35,-0.75,-24.65,-69.82,77.63,29.0,29.0,0.0,0.0,0.0,0.28,-0.17,-6.29,164.97,-98.3,-52.83
0.0,1000.0,980.0,1000.0,962.0,-0.33,0.31,-0.85,-6.4,-41.01,80.2,0.0,95.0,0.0,0.0,0.0,-1.05,3.08,-11.66,35.64,-148.13,-138.48
0.0,1000.0,997.0,1000.0,950.0,-0.61,0.73,-1.7,-73.3,77.69,109.98,0.0,57.0,0.0,0.0,0.0,-8.45,-0.78,-8.95,-13.52,-209.93,-214.78
0.0,790.0,996.0,1000.0,918.0,-0.8,0.45,-0.75,-24.96,52.67,71.89,0.0,3.0,0.0,0.0,0.0,-4.2,0.02,-8.02,32.81,-307.71,218.66
0.0,1000.0,986.0,1000.0,917.0,-0.61,0.21,-0.65,-88.5,-39.97,57.55,0.0,0.0,0.0,0.0,0.0,-4.69,-0.32,-4.95,292.05,-210.24,136.63
0.0,1000.0,985.0,1000.0,932.0,-0.68,0.25,-0.47,-62.31,-55.35,68.54,0.0,0.0,0.0,0.0,0.0,-5.17,-1.06,-4.73,-270.11,-305.57,213.59
0.0,1000.0,964.0,1000.0,937.0,-0.68,0.28,-0.51,-59.87,-25.69,68.96,0.0,0.0,0.0,0.0,0.0,-5.02,-0.73,-3.92,-153.29,208.43,285.25
0.0,1000.0,992.0,1000.0,938.0,-0.61,0.2,-0.52,-65.55,-9.88,52.61,0.0,0.0,0.0,0.0,0.0,-5.21,-0.35,-4.81,-1.07,179.99,262.12
0.0,1000.0,985.0,1000.0,933.0,-0.63,0.2,-0.57,-61.76,-6.89,46.32,0.0,0.0,0.0,0.0,0.0,-5.04,0.0,-4.73,104.28,140.07,274.38
0.0,1000.0,990.0,1000.0,924.0,-0.6,0.14,-0.56,-63.9,-20.44,51.75,0.0,0.0,0.0,0.0,0.0,-4.74,0.71,-4.42,28.72,171.08,293.37
0.0,1000.0,991.0,1000.0,926.0,-0.57,0.11,-0.53,-60.18,-26.61,55.41,0.0,0.0,0.0,0.0,0.0,-4.65,0.9,-4.43,-248.32,207.15,313.93
0.0,1000.0,991.0,1000.0,931.0,-0.54,0.08,-0.51,-55.29,-27.89,45.59,0.0,0.0,0.0,0.0,0.0,-4.5,0.66,-3.78,278.19,203.43,-269.1
0.0,1000.0,997.0,1000.0,933.0,-0.52,0.05,-0.5,-42.54,-12.75,38.63,0.0,0.0,0.0,0.0,0.0,-4.43,0.48,-3.52,222.04,198.91,-233.03
0.0,1000.0,1000.0,1000.0,937.0,-0.5,0.01,-0.54,-34.48,-12.08,32.77,0.0,0.0,0.0,0.0,0.0,-4.44,1.14,-3.96,-310.03,182.31,-231.01
0.0,1000.0,1000.0,1000.0,931.0,-0.51,-0.01,-0.55,-23.01,-7.81,29.72,0.0,0.0,0.0,0.0,0.0,-4.74,1.39,-3.75,-319.24,155.7,-208.67
0.0,1000.0,1000.0,1000.0,931.0,-0.52,-0.03,-0.55,-24.35,-15.99,22.64,0.0,0.0,0.0,0.0,0.0,-4.86,1.68,-3.72,277.4,164.42,-182.98
0.0,1000.0,1000.0,1000.0,939.0,-0.54,-0.08,-0.61,-22.52,-3.6,19.71,0.0,0.0,0.0,0.0,0.0,-5.05,1.71,-3.91,204.04,167.35,-130.61
0.0,1000.0,1000.0,1000.0,945.0,-0.56,-0.09,-0.63,-15.93,-1.09,18.24,0.0,0.0,0.0,0.0,0.0,-5.0,1.81,-3.91,168.09,160.82,-97.65
0.0,1000.0,1000.0,1000.0,945.0,-0.57,-0.1,-0.65,-9.15,0.91,13.3,0.0,0.0,0.0,0.0,0.0,-5.38,2.34,-4.36,185.91,130.55,-89.05
0.0,1000.0,1000.0,1000.0,943.0,-0.59,-0.13,-0.65,-5.67,2.56,8.23,0.0,0.0,0.0,0.0,0.0,-5.45,2.63,-4.31,163.94,99.12,-44.18
0.0,1000.0,1000.0,1000.0,944.0,-0.6,-0.15,-0.7,-2.38,-2.31,0.85,0.0,0.0,0.0,0.0,0.0,-5.48,2.65,-4.12,49.98,99.73,-19.53
0.0,1000.0,1000.0,1000.0,946.0,-0.62,-0.14,-0.73,3.96,1.77,-8.42,0.0,0.0,0.0,0.0,0.0,-5.68,2.57,-4.23,12.39,72.08,8.54
0.0,1000.0,1000.0,1000.0,944.0,-0.64,-0.12,-0.73,10.13,2.8,-15.19,0.0,0.0,0.0,0.0,0.0,-5.88,2.69,-4.3,32.77,37.35,33.63
0.0,1000.0,1000.0,1000.0,925.0,-0.62,-0.1,-0.71,12.63,7.32,-22.27,0.0,0.0,0.0,0.0,0.0,-6.01,2.75,-4.32,-59.87,-0.91,68.66
0.0,1000.0,1000.0,1000.0,911.0,-0.57,-0.08,-0.69,17.15,13.36,-25.75,0.0,0.0,0.0,0.0,0.0,-6.02,2.8,-4.31,-97.53,-18.73,99.24
0.0,1000.0,1000.0,1000.0,898.0,-0.57,-0.09,-0.68,23.37,14.89,-29.9,0.0,0.0,0.0,0.0,0.0,-6.08,2.62,-4.63,-89.47,-48.95,116.57
