L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,305.0,0.0,38.0,0.0,0.32,0.68,-0.66,0.42,0.79,-1.22,110.0,0.0,0.0,0.0,0.0,3.46,-2.78,-6.6,168.15,-28.13,-22.82
0.0,306.0,0.0,40.0,0.0,0.36,0.8,-0.7,-7.5,6.95,3.6,79.0,0.0,0.0,0.0,0.0,3.53,-2.66,-6.44,91.61,-22.7,-12.26
0.0,304.0,0.0,40.0,0.0,0.4,0.9,-0.76,-13.06,16.11,11.65,79.0,2.0,0.0,0.0,0.0,3.59,-2.76,-6.52,-27.46,4.39,-0.36
0.0,294.0,0.0,41.0,0.0,0.42,1.0,-0.83,-24.84,32.53,24.96,92.0,3.0,0.0,0.0,0.0,3.58,-2.94,-6.51,28.13,26.0,2.68
0.0,293.0,0.0,40.0,0.0,0.47,1.08,-0.95,-47.42,52.79,44.0,28.0,7.0,0.0,0.0,1.0,3.5,-2.8,-6.4,-18.92,21.05,9.58
0.0,292.0,0.0,40.0,0.0,0.52,1.13,-1.12,-62.98,82.58,59.63,24.0,4.0,0.0,0.0,0.0,3.46,-2.86,-6.55,25.57,12.45,18.61
0.0,284.0,0.0,40.0,0.0,0.74,1.16,-1.17,-73.12,116.88,67.07,18.0,7.0,0.0,0.0,0.0,3.64,-2.76,-6.25,18.67,11.04,7.5
0.0,272.0,0.0,53.0,0.0,0.53,1.08,-1.25,-73.97,158.44,79.89,24.0,7.0,0.0,0.0,0.0,3.68,-2.91,-6.5,19.89,15.25,5.79
0.0,282.0,0.0,56.0,0.0,0.46,1.02,-1.24,-67.99,200.68,99.67,49.0,8.0,0.0,0.0,0.0,4.59,-2.76,-6.9,4.82,8.48,22.64
0.0,303.0,0.0,58.0,0.0,0.37,1.04,-1.13,-60.42,239.31,121.76,48.0,8.0,0.0,0.0,0.0,3.74,-2.35,-6.52,-13.18,52.73,22.52
0.0,295.0,0.0,58.0,0.0,0.17,0.87,-1.06,-72.32,263.73,124.38,0.0,9.0,0.0,0.0,0.0,3.77,-2.67,-6.26,-67.32,46.44,9.27
0.0,271.0,0.0,57.0,0.0,0.1,0.77,-1.07,-51.39,271.17,132.69,0.0,10.0,0.0,0.0,0.0,3.61,-3.19,-6.59,-4.94,-3.35,6.28
0.0,322.0,0.0,154.0,0.0,-0.09,0.68,-1.04,-83.86,243.1,137.93,0.0,9.0,0.0,0.0,0.0,3.4,-2.86,-6.27,50.17,9.03,-2.62
0.0,321.0,0.0,152.0,0.0,-0.4,0.61,-0.99,-76.96,211.91,149.41,0.0,9.0,0.0,0.0,1.0,3.48,-2.7,-6.22,7.01,13.97,5.55
0.0,321.0,0.0,154.0,0.0,-0.2,0.44,-0.9,-125.67,184.81,136.16,0.0,9.0,0.0,0.0,0.0,3.57,-2.82,-6.55,16.9,2.8,4.94
0.0,321.0,0.0,157.0,0.0,-0.12,0.28,-0.96,-140.19,203.79,118.04,0.0,8.0,0.0,0.0,0.0,3.66,-2.92,-6.82,39.42,11.84,6.28
0.0,268.0,0.0,160.0,0.0,-0.2,0.14,-0.95,-129.94,240.84,106.56,0.0,9.0,0.0,0.0,0.0,3.65,-2.59,-6.33,-11.1,35.94,-1.09
0.0,272.0,0.0,161.0,0.0,-0.21,0.02,-0.74,-105.16,264.34,101.25,0.0,8.0,0.0,0.0,0.0,3.57,-3.05,-6.67,60.6,12.45,14.83
0.0,255.0,0.0,162.0,0.0,-0.19,0.08,-0.56,-96.74,278.74,86.54,0.0,8.0,0.0,0.0,0.0,3.36,-2.38,-6.59,1.83,54.74,13.12
0.0,283.0,0.0,176.0,0.0,-0.19,0.12,-0.4,-72.87,288.81,62.43,0.0,8.0,0.0,0.0,0.0,3.49,-2.55,-6.34,-54.5,40.77,20.81
0.0,285.0,0.0,180.0,0.0,-0.36,0.14,-0.15,-21.54,307.43,44.61,0.0,8.0,0.0,0.0,0.0,3.61,-3.17,-6.57,2.56,4.02,0.85
0.0,284.0,0.0,182.0,0.0,-0.5,0.33,0.13,81.78,300.41,76.9,0.0,8.0,0.0,0.0,0.0,3.65,-3.0,-6.25,19.34,18.79,13.61
0.0,284.0,0.0,196.0,0.0,-0.65,0.6,0.66,94.72,246.7,99.24,0.0,9.0,0.0,0.0,0.0,3.37,-2.81,-6.88,37.9,-11.16,12.08
0.0,282.0,0.0,196.0,0.0,-0.91,0.81,1.18,33.75,147.82,130.73,0.0,9.0,0.0,0.0,0.0,3.54,-2.42,-6.6,34.54,9.09,4.45
