L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
196.0,0.0,0.0,0.0,0.0,-0.5,0.88,0.01,-3.96,1.4,0.67,0.0,0.0,0.0,0.0,0.0,-2.64,-5.95,-5.14,49.13,22.58,24.71
187.0,0.0,0.0,0.0,0.0,-0.52,0.95,-0.02,-14.77,6.04,6.83,0.0,0.0,0.0,0.0,0.0,-2.61,-5.92,-4.78,36.43,4.27,25.81
188.0,0.0,0.0,0.0,0.0,-0.54,0.97,-0.09,-24.35,11.65,13.0,0.0,0.0,0.0,0.0,0.0,-2.53,-5.94,-4.87,1.34,44.12,6.59
189.0,0.0,0.0,0.0,0.0,-0.55,1.04,-0.14,-25.51,20.81,19.65,0.0,0.0,0.0,0.0,0.0,-2.44,-5.97,-4.88,35.64,23.31,32.34
179.0,0.0,0.0,0.0,0.0,-0.55,1.11,-0.22,-31.0,26.55,28.07,0.0,0.0,0.0,0.0,0.0,-2.62,-5.7,-4.58,6.28,-36.92,33.14
179.0,0.0,0.0,0.0,0.0,-0.56,1.23,-0.26,-49.8,30.88,36.07,0.0,0.0,0.0,0.0,0.0,-2.83,-6.04,-4.7,-27.03,-45.65,14.03
179.0,0.0,0.0,0.0,0.0,-0.62,1.38,-0.33,-65.06,41.68,51.87,0.0,0.0,0.0,0.0,0.0,-2.82,-6.23,-4.83,-34.11,-2.38,-31.79
176.0,0.0,0.0,30.0,0.0,-0.7,1.58,-0.36,-82.45,55.41,73.05,0.0,0.0,0.0,0.0,0.0,-2.64,-6.05,-4.63,-19.65,-6.4,5.43
185.0,0.0,0.0,29.0,0.0,-0.75,1.67,-0.37,-113.89,60.79,103.33,0.0,0.0,0.0,0.0,0.0,-2.57,-6.18,-4.61,23.8,-29.35,4.21
186.0,0.0,0.0,59.0,0.0,-0.82,1.69,-0.39,-160.64,55.78,135.0,0.0,0.0,0.0,0.0,0.0,-2.15,-5.87,-4.51,-41.68,-7.38,-20.32
189.0,0.0,0.0,0.0,0.0,-0.76,1.64,-0.25,-221.06,46.14,160.64,0.0,0.0,0.0,0.0,0.0,-2.16,-5.8,-4.85,-40.58,21.54,-28.99
192.0,0.0,0.0,0.0,0.0,-0.81,1.44,-0.39,-268.0,41.8,177.73,0.0,0.0,0.0,0.0,0.0,-2.17,-5.44,-5.06,-0.3,14.34,18.85
186.0,0.0,0.0,12.0,0.0,-0.76,1.28,-0.43,-311.52,39.3,189.14,0.0,0.0,0.0,0.0,0.0,-2.26,-5.69,-5.25,8.66,23.98,57.18
176.0,0.0,0.0,60.0,0.0,-0.69,1.13,-0.4,294.65,31.67,197.63,0.0,0.0,0.0,0.0,0.0,-2.65,-6.09,-5.23,16.41,36.37,74.52
172.0,0.0,0.0,65.0,0.0,-0.58,0.95,-0.34,250.03,36.37,187.8,0.0,0.0,0.0,0.0,0.0,-2.92,-6.44,-4.84,38.81,22.52,63.65
149.0,0.0,0.0,66.0,0.0,-0.53,0.8,-0.3,230.38,49.86,179.87,0.0,0.0,0.0,0.0,0.0,-2.81,-6.63,-4.83,77.69,4.39,23.8
145.0,0.0,0.0,66.0,0.0,-0.51,0.72,-0.27,221.28,60.42,173.82,0.0,0.0,0.0,0.0,0.0,-2.59,-6.22,-4.77,92.95,-5.06,-4.33
143.0,0.0,0.0,68.0,0.0,-0.43,0.56,-0.2,212.8,66.1,157.4,0.0,0.0,0.0,0.0,0.0,-2.38,-5.71,-4.6,82.39,-11.65,0.79
145.0,0.0,0.0,8.0,0.0,-0.35,0.39,0.05,211.88,77.33,114.86,0.0,0.0,0.0,0.0,0.0,-2.29,-5.41,-4.76,-7.81,-24.23,1.7
157.0,0.0,0.0,0.0,0.0,-0.6,0.18,0.32,251.74,89.59,68.96,0.0,0.0,0.0,0.0,0.0,-2.45,-5.82,-5.02,-12.08,-51.94,18.18
149.0,0.0,0.0,45.0,0.0,-0.63,0.23,0.64,-297.11,104.12,49.8,0.0,0.0,0.0,0.0,0.0,-2.66,-6.14,-5.12,-23.92,0.73,16.6
146.0,0.0,0.0,0.0,0.0,-0.89,0.39,0.89,-152.34,123.96,56.76,0.0,0.0,0.0,0.0,0.0,-2.3,-6.18,-5.08,13.79,64.33,-9.33
145.0,0.0,0.0,0.0,0.0,-1.06,0.77,1.32,-66.95,117.18,102.78,0.0,0.0,0.0,0.0,0.0,-2.14,-5.79,-5.01,51.02,34.42,8.97
159.0,0.0,0.0,0.0,0.0,-1.04,0.8,1.27,-42.6,68.23,178.83,0.0,0.0,0.0,0.0,0.0,-2.33,-5.62,-4.93,56.39,-25.26,0.73
131.0,0.0,0.0,150.0,0.0,-1.03,0.74,1.13,-101.8,-44.86,245.23,0.0,0.0,0.0,0.0,0.0,-2.37,-5.7,-5.07,33.26,-28.01,40.46
131.0,0.0,0.0,153.0,0.0,-0.65,0.39,0.8,-165.03,-142.57,287.96,0.0,0.0,0.0,0.0,0.0,-2.47,-5.99,-5.11,10.98,30.33,14.28
147.0,0.0,0.0,149.0,0.0,-0.45,-0.17,0.48,-141.47,-184.93,304.74,0.0,0.0,0.0,0.0,1.0,-2.36,-5.91,-5.16,22.82,83.86,-0.97
150.0,0.0,0.0,0.0,0.0,0.1,-0.64,0.0,-140.68,-178.22,-327.55,0.0,0.0,0.0,0.0,0.0,-2.24,-5.86,-5.18,58.34,99.42,7.14
79.0,0.0,0.0,0.0,0.0,0.5,-1.11,-0.16,-125.18,-171.14,325.86,0.0,0.0,0.0,0.0,0.0,-2.32,-5.54,-4.71,37.35,54.5,43.15
0.0,0.0,0.0,11.0,0.0,0.84,-1.65,-0.23,-175.29,-166.38,285.76,0.0,0.0,0.0,0.0,1.0,-2.58,-5.79,-4.67,-17.02,1.15,33.75
52.0,0.0,0.0,154.0,0.0,0.57,-2.11,-0.39,-211.6,-141.05,136.41,0.0,0.0,0.0,0.0,0.0,-2.66,-6.17,-5.03,35.76,-59.81,2.44
45.0,0.0,0.0,156.0,0.0,0.37,-2.28,-0.36,-224.73,-114.13,-100.76,0.0,0.0,0.0,0.0,0.0,-2.42,-5.71,-4.93,-17.7,-6.4,-22.76
119.0,0.0,0.0,166.0,0.0,0.21,-2.07,-0.28,-166.99,-93.38,-222.65,0.0,0.0,4.0,0.0,0.0,-2.39,-5.65,-5.07,-67.01,51.75,-11.47
216.0,0.0,0.0,168.0,0.0,-0.04,-1.36,-0.26,-8.36,10.19,-295.83,0.0,0.0,0.0,0.0,0.0,-2.03,-5.85,-4.67,-50.47,62.68,68.78
214.0,0.0,0.0,168.0,0.0,-0.11,-0.91,-0.07,152.4,126.28,300.38,0.0,0.0,0.0,0.0,0.0,-2.51,-6.0,-5.01,-67.62,59.69,0.18
187.0,0.0,0.0,171.0,0.0,-0.26,-0.42,-0.02,313.59,252.68,269.56,0.0,0.0,0.0,0.0,0.0,-2.5,-5.82,-4.4,-25.87,54.56,1.64
200.0,0.0,0.0,183.0,0.0,-0.66,0.17,0.25,-308.75,242.73,236.91,1.0,0.0,0.0,0.0,0.0,-2.41,-5.73,-4.81,-0.67,17.7,13.91
200.0,0.0,0.0,183.0,0.0,-0.86,0.8,0.52,314.81,167.6,233.86,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
150.0,0.0,0.0,183.0,0.0,-1.07,1.46,0.83,250.24,89.66,289.34,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
119.0,0.0,0.0,134.0,0.0,-1.31,1.82,0.69,-31.43,-86.12,-148.55,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
192.0,0.0,0.0,0.0,0.0,-1.19,1.82,0.46,-248.53,-134.39,52.61,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
143.0,0.0,0.0,0.0,0.0,-0.74,0.96,0.24,300.08,-119.75,217.65,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
93.0,0.0,0.0,0.0,0.0,-0.52,0.18,0.14,263.89,-115.05,276.85,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
44.0,0.0,0.0,0.0,0.0,-0.5,-0.69,0.11,273.16,-124.51,323.18,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
0.0,0.0,0.0,0.0,0.0,-0.45,-1.13,0.14,-265.01,-85.2,-309.3,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
0.0,0.0,0.0,34.0,0.0,-0.8,-1.94,-0.04,-132.08,-41.74,284.11,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
0.0,0.0,0.0,68.0,0.0,-0.14,-2.18,0.22,-27.77,-20.38,226.5,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
0.0,0.0,0.0,135.0,0.0,-0.28,-2.14,0.17,32.71,-30.94,83.67,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
0.0,17.0,0.0,147.0,0.0,-0.36,-1.72,0.19,33.56,-7.99,-151.97,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
0.0,28.0,0.0,150.0,0.0,-0.14,-1.52,0.0,55.72,-31.37,-247.37,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
48.0,0.0,0.0,77.0,0.0,-0.3,-1.12,0.05,175.41,34.54,-303.52,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
88.0,0.0,0.0,66.0,0.0,-0.34,-0.65,-0.03,-318.27,114.44,324.55,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
116.0,0.0,0.0,62.0,0.0,-0.45,-0.13,0.06,-276.46,110.59,314.42,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
118.0,0.0,0.0,65.0,0.0,-0.63,0.35,0.07,-289.34,96.43,297.15,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
132.0,0.0,0.0,30.0,0.0,-0.69,0.81,0.23,-299.41,77.14,318.21,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
130.0,0.0,0.0,0.0,0.0,-0.65,1.06,0.47,314.94,31.73,-283.32,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
104.0,0.0,1.0,0.0,0.0,-0.79,1.3,0.48,196.77,-15.31,-142.94,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
121.0,0.0,0.0,0.0,0.0,-0.95,1.45,0.6,7.62,-64.27,-30.7,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
119.0,0.0,0.0,0.0,0.0,-0.82,1.05,0.37,-93.93,-91.43,3.29,15.0,6.0,0.0,0.0,0.0,-2.57,-5.94,-4.92,41.38,9.03,13.91
