L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,356.0,0.0,139.0,0.0,0.09,0.47,-0.89,1.28,2.13,-1.03,88.0,0.0,0.0,0.0,0.0,1.41,-1.11,-8.13,-18.61,-4.76,-6.89
0.0,348.0,0.0,172.0,0.0,0.09,0.5,-0.88,-4.94,-0.06,0.79,69.0,0.0,0.0,0.0,0.0,1.41,-1.2,-8.3,28.13,72.38,8.85
0.0,357.0,0.0,157.0,0.0,0.09,0.46,-0.87,1.46,-2.38,-0.85,41.0,0.0,0.0,0.0,0.0,1.52,-1.24,-8.09,142.15,89.66,14.77
0.0,358.0,0.0,156.0,0.0,0.11,0.53,-0.88,-4.88,0.91,-0.61,0.0,0.0,0.0,0.0,0.0,1.48,-1.31,-8.39,262.39,74.58,23.37
0.0,358.0,0.0,154.0,0.0,0.11,0.48,-0.86,-7.75,-6.16,-2.31,0.0,0.0,0.0,0.0,0.0,1.9,-0.64,-10.14,218.5,264.03,34.54
0.0,357.0,0.0,156.0,0.0,0.11,0.46,-0.88,-0.24,-4.27,-7.32,0.0,0.0,0.0,0.0,0.0,2.44,-0.99,-12.03,131.83,-174.9,-37.29
0.0,346.0,0.0,154.0,0.0,0.14,0.52,-0.88,-4.69,-1.89,-1.28,0.0,2.0,0.0,0.0,0.0,3.08,-1.0,-14.41,253.11,204.93,89.78
0.0,347.0,0.0,154.0,0.0,0.12,0.46,-0.86,1.09,-0.73,-3.54,0.0,3.0,0.0,0.0,0.0,3.25,-0.65,-15.53,-180.33,151.43,215.69
0.0,347.0,0.0,159.0,0.0,0.07,0.47,-0.87,3.9,-5.98,-5.0,0.0,13.0,0.0,0.0,0.0,2.09,-0.27,-15.6,-39.15,-109.52,-232.76
0.0,347.0,0.0,152.0,0.0,0.15,0.55,-0.88,-2.19,-1.15,-0.54,0.0,8.0,0.0,0.0,0.0,1.64,1.6,-14.78,134.25,33.92,154.88
0.0,348.0,0.0,157.0,0.0,0.11,0.47,-0.87,1.03,-6.89,-5.24,0.0,9.0,0.0,0.0,0.0,-0.83,0.99,-11.16,109.41,33.92,-65.89
0.0,348.0,0.0,152.0,0.0,0.16,0.53,-0.87,-1.95,-1.52,-0.73,0.0,9.0,0.0,0.0,0.0,-1.41,3.25,-10.51,97.44,-7.83,-184.42
0.0,334.0,0.0,157.0,0.0,0.17,0.5,-0.84,5.24,-0.42,0.36,0.0,10.0,0.0,0.0,0.0,-1.33,2.58,-10.05,34.61,-134.85,-221.71
0.0,333.0,0.0,155.0,0.0,0.16,0.52,-0.84,-1.95,-3.11,-2.19,0.0,8.0,0.0,0.0,0.0,-3.57,2.7,-7.79,-276.45,33.92,142.61
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,26.0,0.0,0.0,0.0,-7.91,6.09,-9.18,-277.73,33.92,-105.77
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,31.0,0.0,0.0,0.0,-0.46,2.51,-7.4,48.13,33.92,132.15
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,29.0,0.0,0.0,0.0,-3.43,3.93,-6.49,-300.04,33.92,-163.14
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,13.0,0.0,0.0,0.0,0.03,-0.77,-2.16,-80.66,33.92,33.94
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,10.0,0.0,0.0,0.0,-2.91,-3.96,-5.52,-178.64,33.92,31.13
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,9.0,0.0,0.0,0.0,-0.94,-6.17,-2.73,133.66,33.92,-251.34
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,8.0,0.0,0.0,0.0,-1.9,-9.09,1.21,88.71,189.46,114.47
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,8.0,0.0,0.0,0.0,-12.54,-9.12,-4.36,-71.54,25.76,188.9
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,14.0,0.0,0.0,0.0,-2.38,-0.47,2.31,-99.18,42.76,-33.85
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,14.0,0.0,0.0,0.0,-3.0,9.06,-1.11,-81.38,-303.62,-33.85
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,14.0,0.0,0.0,0.0,-5.9,10.76,2.32,33.92,281.61,58.43
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,10.0,0.0,0.0,0.0,-6.36,16.0,3.67,33.92,304.32,177.55
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,25.0,0.0,0.0,0.0,-7.64,14.1,4.16,56.95,-235.14,-244.84
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,30.0,0.0,0.0,0.0,-8.05,16.0,2.3,-40.89,-307.71,227.42
0.0,334.0,0.0,156.0,0.0,0.17,0.52,-0.85,-0.12,2.07,-0.85,0.0,14.0,0.0,0.0,0.0,-5.64,7.84,3.37,8.09,-34.36,33.92
