L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
46.0,48.0,0.0,77.0,0.0,-0.67,0.71,-0.22,-0.73,0.36,-0.42,0.0,16.0,0.0,0.0,0.0,-3.7,-5.5,-7.23,115.72,146.24,-24.47
59.0,48.0,0.0,78.0,0.0,-0.72,0.73,-0.17,1.46,-10.49,0.91,0.0,16.0,0.0,0.0,0.0,-4.15,-6.55,-9.21,74.58,203.0,-86.12
61.0,37.0,0.0,77.0,0.0,-0.69,0.74,-0.21,1.52,-6.46,6.34,0.0,14.0,0.0,0.0,0.0,-4.31,-8.15,-11.76,8.05,324.7,-123.77
33.0,52.0,0.0,44.0,0.0,-0.63,0.69,-0.24,-1.15,3.54,5.37,0.0,14.0,0.0,0.0,0.0,-4.02,-8.65,-12.07,219.48,-179.35,-236.63
43.0,37.0,0.0,80.0,0.0,-0.65,0.68,-0.23,-0.67,3.47,0.06,0.0,7.0,0.0,0.0,0.0,-3.55,-7.66,-11.45,-230.07,222.26,226.59
29.0,47.0,0.0,81.0,0.0,-0.69,0.68,-0.19,-2.25,-3.29,-7.69,0.0,0.0,0.0,0.0,0.0,-4.4,-7.21,-10.13,93.96,-197.81,221.77
44.0,37.0,0.0,80.0,0.0,-0.71,0.74,-0.21,-2.13,-3.72,-0.54,0.0,0.0,0.0,0.0,0.0,-4.02,-6.38,-9.4,-62.98,-51.81,252.04
59.0,38.0,0.0,82.0,0.0,-0.67,0.74,-0.22,-2.86,0.3,8.54,9.0,0.0,0.0,0.0,0.0,-4.54,-4.85,-7.25,216.92,66.23,276.89
5.0,36.0,0.0,78.0,0.0,-0.66,0.65,-0.2,2.92,1.83,-1.03,21.0,0.0,0.0,0.0,0.0,-5.09,-2.36,-5.46,-312.28,-0.85,152.5
19.0,37.0,0.0,78.0,0.0,-0.7,0.73,-0.22,0.18,-4.21,-6.77,27.0,0.0,0.0,0.0,0.0,-4.51,-3.23,-5.26,-268.03,-35.64,40.86
