L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,178.0,0.0,82.0,0.0,0.02,0.56,-0.82,-1.7,-0.61,-1.09,0.0,15.0,0.0,0.0,0.0,0.21,-4.12,-8.12,-210.02,-87.64,218.05
0.0,178.0,0.0,15.0,0.0,0.05,0.54,-0.84,1.09,7.08,-7.01,17.0,10.0,0.0,0.0,0.0,0.13,-4.19,-8.27,304.41,-64.81,110.75
0.0,179.0,0.0,13.0,0.0,0.0,0.6,-0.81,0.97,-0.61,-3.05,44.0,13.0,0.0,0.0,0.0,0.37,-4.65,-8.53,144.07,-61.03,24.93
0.0,140.0,0.0,12.0,0.0,0.03,0.61,-0.85,-0.91,1.83,2.01,66.0,10.0,0.0,0.0,0.0,0.42,-5.45,-8.68,-187.65,34.85,-122.16
0.0,181.0,0.0,77.0,0.0,-0.01,0.61,-0.8,-1.34,-3.9,-1.22,61.0,14.0,0.0,0.0,1.0,0.1,-6.33,-8.46,303.77,138.79,-311.0
0.0,144.0,0.0,77.0,0.0,0.06,0.55,-0.85,2.07,2.25,-5.92,61.0,14.0,0.0,0.0,0.0,-0.41,-6.41,-8.15,-220.98,151.3,136.16
0.0,141.0,0.0,62.0,0.0,0.02,0.61,-0.82,-0.79,0.73,-0.54,63.0,14.0,0.0,0.0,0.0,-0.8,-5.92,-7.93,-142.97,96.61,8.36
0.0,180.0,0.0,13.0,0.0,0.0,0.59,-0.79,-4.51,-4.45,-2.31,61.0,14.0,0.0,0.0,0.0,-1.14,-5.75,-7.68,-197.36,-4.15,-180.18
0.0,171.0,0.0,78.0,0.0,0.04,0.6,-0.83,-1.7,1.4,2.92,62.0,10.0,0.0,0.0,0.0,-1.28,-5.67,-7.41,-308.62,-48.58,190.08
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,76.0,4.0,0.0,0.0,0.0,-1.25,-5.72,-6.81,-310.82,7.93,58.8
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,93.0,2.0,0.0,0.0,0.0,-1.29,-5.77,-6.4,265.13,-33.44,259.3
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,86.0,2.0,6.0,0.0,0.0,-1.18,-5.38,-5.57,287.84,-116.82,-266.85
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,95.0,0.0,12.0,0.0,0.0,-1.45,-5.16,-5.39,-262.91,-280.15,-240.48
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,106.0,0.0,14.0,0.0,0.0,-1.21,-4.44,-5.71,-56.92,327.67,-21.49
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,100.0,0.0,14.0,0.0,0.0,-1.09,-3.54,-5.4,110.14,291.41,143.98
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,94.0,9.0,14.0,0.0,0.0,-1.39,-3.03,-5.68,319.79,216.58,281.73
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,99.0,16.0,14.0,0.0,0.0,-1.42,-2.77,-4.94,290.19,116.18,-229.83
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,98.0,21.0,83.0,0.0,0.0,-1.64,-2.81,-5.87,-301.33,85.6,-165.37
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,100.0,24.0,108.0,0.0,0.0,-1.61,-2.72,-6.14,-293.7,134.0,-47.39
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,117.0,24.0,146.0,0.0,0.0,-1.55,-2.97,-6.38,-304.93,193.63,26.46
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,165.0,24.0,168.0,0.0,0.0,-1.51,-3.52,-6.65,-191.04,262.36,74.8
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,180.0,24.0,169.0,0.0,0.0,-1.59,-3.75,-6.29,-121.39,296.66,146.76
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,182.0,25.0,178.0,0.0,0.0,-1.67,-3.79,-6.25,-78.49,-298.82,222.5
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,177.0,37.0,184.0,0.0,0.0,-1.69,-3.92,-6.35,-64.88,-273.01,270.11
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,184.0,46.0,192.0,0.0,0.0,-1.63,-4.15,-6.56,-45.83,-224.36,317.23
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,184.0,50.0,198.0,0.0,0.0,-1.69,-3.92,-6.49,-80.13,-160.7,-315.85
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,188.0,61.0,198.0,0.0,0.0,-1.78,-3.62,-6.34,-55.48,-91.91,-243.46
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,188.0,67.0,190.0,2.0,0.0,-1.83,-3.53,-6.19,-20.87,-26.55,-159.66
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,181.0,73.0,190.0,3.0,0.0,-2.06,-3.89,-6.01,56.21,-18.18,-87.95
0.0,178.0,0.0,78.0,0.0,0.02,0.54,-0.82,-0.48,-1.22,-2.86,130.0,78.0,179.0,6.0,0.0,-2.25,-3.7,-5.72,132.62,-52.67,-13.85
