L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
130.0,0.0,0.0,114.0,0.0,-0.7,0.68,-0.24,-1.09,0.54,-0.97,0.0,0.0,0.0,0.0,0.0,-4.09,-6.07,-5.28,69.7,106.01,-174.98
133.0,0.0,0.0,87.0,0.0,-0.68,0.68,-0.24,-4.08,10.49,-7.08,0.0,0.0,0.0,0.0,0.0,-4.21,-6.18,-5.15,175.23,26.61,-181.33
132.0,0.0,0.0,104.0,0.0,-0.68,0.68,-0.21,2.8,-2.07,-8.66,0.0,0.0,0.0,0.0,1.0,-4.43,-6.27,-5.03,297.24,-48.76,-215.69
132.0,0.0,0.0,115.0,0.0,-0.7,0.72,-0.22,-4.33,2.31,-2.5,0.0,0.0,0.0,0.0,0.0,-4.63,-6.16,-5.77,179.87,30.82,-310.66
129.0,0.0,0.0,132.0,0.0,-0.72,0.71,-0.19,1.77,4.63,3.05,0.0,0.0,0.0,0.0,0.0,-5.0,-6.82,-5.73,-114.07,123.29,206.88
129.0,0.0,0.0,131.0,0.0,-0.7,0.69,-0.19,-6.4,-6.28,2.62,0.0,0.0,0.0,0.0,0.0,-5.45,-6.89,-5.71,-128.23,121.15,67.6
133.0,0.0,0.0,104.0,0.0,-0.71,0.7,-0.22,7.75,1.64,-0.73,0.0,0.0,0.0,0.0,0.0,-5.72,-6.53,-5.49,-62.01,107.66,-68.57
131.0,0.0,0.0,120.0,0.0,-0.7,0.76,-0.24,9.7,5.61,4.76,0.0,0.0,0.0,0.0,0.0,-6.07,-5.89,-5.45,-111.14,80.5,-181.43
129.0,0.0,0.0,103.0,0.0,-0.68,0.66,-0.21,2.74,7.87,-2.5,0.0,0.0,0.0,5.0,1.0,-6.32,-5.53,-4.53,-278.44,24.71,-316.93
131.0,0.0,0.0,96.0,0.0,-0.69,0.67,-0.21,-5.18,1.64,-7.81,0.0,0.0,0.0,0.0,0.0,-6.48,-5.25,-4.69,107.39,5.85,208.31
145.0,0.0,0.0,67.0,0.0,-0.7,0.74,-0.2,11.53,16.84,-1.7,0.0,0.0,0.0,0.0,0.0,-6.28,-5.21,-4.1,-55.57,-6.83,51.39
134.0,0.0,0.0,115.0,0.0,-0.69,0.74,-0.17,9.27,19.53,5.49,0.0,0.0,0.0,0.0,0.0,-6.33,-5.08,-3.91,-82.92,-49.43,-74.83
132.0,0.0,0.0,114.0,0.0,-0.68,0.68,-0.13,-4.21,8.3,6.4,0.0,0.0,0.0,0.0,0.0,-6.31,-4.52,-3.43,-10.77,-173.46,-124.94
132.0,0.0,0.0,103.0,0.0,-0.66,0.63,-0.13,-1.34,-0.24,-0.79,0.0,0.0,0.0,0.0,0.0,-6.68,-4.61,-2.82,96.28,-266.47,-140.14
130.0,0.0,0.0,103.0,0.0,-0.72,0.67,-0.14,3.72,-5.24,-6.28,0.0,0.0,0.0,0.0,0.0,-6.15,-4.05,-2.51,233.67,228.67,-131.72
146.0,0.0,0.0,104.0,0.0,-0.75,0.72,-0.13,5.12,-6.1,0.42,0.0,0.0,0.0,0.0,0.0,-5.4,-3.18,-2.2,301.36,76.57,-126.84
164.0,0.0,0.0,103.0,0.0,-0.73,0.73,-0.13,26.55,7.69,7.01,0.0,0.0,0.0,0.0,0.0,-4.72,-0.97,-1.48,174.16,-6.44,-96.75
161.0,0.0,0.0,101.0,0.0,-0.73,0.74,-0.11,38.26,17.63,13.24,0.0,0.0,0.0,0.0,0.0,-4.34,-0.09,-1.57,-93.35,-205.17,-110.72
