L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,18.0,0.0,0.0,0.0,-0.08,0.6,-0.79,-1.22,1.22,-1.28,230.0,13.0,0.0,0.0,0.0,0.24,-2.45,-7.83,-1.7,-31.86,16.29
0.0,16.0,0.0,2.0,0.0,-0.08,0.62,-0.77,-2.74,-3.9,-1.83,181.0,18.0,0.0,0.0,1.0,0.22,-2.69,-7.49,143.24,-111.32,-39.61
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,54.0,15.0,0.0,0.0,0.0,0.47,-2.28,-7.67,233.7,-150.57,-43.94
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,18.0,0.0,0.0,1.0,0.43,-2.07,-7.23,145.75,-138.54,-47.85
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,19.0,0.0,0.0,0.0,0.54,-2.02,-7.81,-4.88,-73.3,-27.58
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,19.0,0.0,0.0,0.0,0.39,-2.34,-7.93,-101.25,-34.3,-34.6
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,20.0,0.0,0.0,0.0,0.6,-2.62,-8.01,-39.91,-27.89,-29.84
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,20.0,0.0,0.0,0.0,0.68,-2.38,-7.54,57.49,-16.35,-29.29
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,20.0,0.0,0.0,0.0,0.79,-1.8,-8.12,-59.2,59.81,-55.84
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,19.0,0.0,0.0,0.0,0.64,-2.19,-7.93,271.27,167.11,-123.59
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,21.0,0.0,0.0,0.0,0.61,-2.67,-8.51,87.13,245.48,-109.49
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,20.0,0.0,0.0,0.0,0.53,-3.4,-7.78,-241.0,-301.36,-138.54
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,21.0,0.0,0.0,0.0,0.46,-4.13,-8.77,192.01,-99.09,-212.15
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,18.0,0.0,0.0,0.0,0.16,-5.26,-8.72,-46.94,-70.1,319.24
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,19.0,0.0,0.0,0.0,-0.05,-7.45,-8.88,205.53,33.66,134.61
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,14.0,0.0,0.0,0.0,-0.03,-8.92,-8.21,-33.85,101.29,-88.9
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,9.0,0.0,0.0,0.0,-2.25,-10.27,-7.23,98.84,250.76,-309.36
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,9.0,0.0,0.0,0.0,-2.76,-9.13,-6.58,-254.09,204.19,111.45
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,15.0,0.0,0.0,0.0,-3.13,-9.8,-6.07,229.73,67.41,-181.04
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,19.0,0.0,0.0,0.0,-3.57,-8.85,-5.0,-319.92,-129.55,-303.78
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,13.0,0.0,0.0,0.0,-3.37,-10.72,-4.39,325.07,-175.32,-76.91
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,18.0,0.0,0.0,0.0,-3.79,-7.82,-4.24,-285.55,-250.95,-240.79
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,29.0,0.0,0.0,0.0,-4.02,-7.69,-3.83,154.54,317.13,-270.27
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,50.0,0.0,0.0,0.0,-4.19,-7.56,-3.54,211.3,166.87,323.69
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,56.0,0.0,0.0,0.0,-3.87,-7.13,-3.52,-118.19,38.08,261.62
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,61.0,0.0,0.0,0.0,-4.03,-6.17,-3.58,67.05,-36.62,201.62
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,61.0,0.0,0.0,0.0,-4.02,-4.95,-3.73,183.14,-134.52,165.79
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,0.0,62.0,0.0,0.0,0.0,-3.62,-3.78,-3.08,74.43,-140.8,247.21
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,4.0,34.0,0.0,0.0,0.0,-3.38,-3.34,-2.52,-210.3,138.58,178.06
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,22.0,47.0,0.0,0.0,0.0,-2.83,-3.7,-0.92,-95.49,306.18,-312.75
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,17.0,62.0,81.0,0.0,0.0,-4.17,-2.0,-2.82,-107.76,-86.54,-223.15
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,16.0,63.0,106.0,0.0,0.0,-4.45,-2.33,-3.05,49.59,-287.71,-92.72
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,11.0,58.0,115.0,0.0,0.0,-4.26,-1.39,-3.37,171.72,-232.84,-77.89
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,18.0,52.0,124.0,0.0,0.0,-3.69,-0.81,-3.2,131.2,-202.2,78.91
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,22.0,57.0,129.0,0.0,0.0,-4.46,-0.32,-4.16,133.94,-169.92,206.05
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,23.0,35.0,128.0,0.0,0.0,-4.42,0.36,-3.73,-279.96,-213.86,-262.36
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,30.0,31.0,120.0,0.0,0.0,-4.34,0.45,-3.66,256.38,-120.66,-68.94
0.0,15.0,0.0,0.0,0.0,-0.08,0.63,-0.8,-0.97,1.28,-2.25,38.0,29.0,121.0,0.0,0.0,-5.27,0.39,-3.08,2.59,13.0,-20.17
