L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
305.0,0.0,0.0,61.0,0.0,-0.72,0.69,-0.17,-3.29,1.58,-1.28,15.0,0.0,0.0,0.0,0.0,-7.98,-10.26,-2.57,95.31,260.74,52.09
300.0,0.0,0.0,24.0,0.0,-0.74,0.59,-0.2,20.38,22.33,-1.46,22.0,0.0,0.0,0.0,0.0,-8.05,-9.57,-2.66,255.83,110.96,-179.05
305.0,0.0,0.0,27.0,0.0,-0.75,0.69,-0.12,35.88,41.07,8.78,31.0,0.0,0.0,0.0,0.0,-7.29,-8.76,-2.15,285.0,133.23,256.53
315.0,0.0,0.0,78.0,0.0,-0.85,0.76,-0.03,-2.01,7.81,7.69,32.0,0.0,0.0,2.0,0.0,-6.93,-7.75,-1.77,130.16,148.25,88.5
330.0,0.0,0.0,78.0,0.0,-0.79,0.7,-0.04,-16.54,-9.39,6.16,31.0,0.0,0.0,10.0,0.0,-6.79,-6.82,-1.55,126.92,35.64,-18.25
313.0,0.0,0.0,41.0,0.0,-0.68,0.68,-0.15,3.05,-2.74,9.15,20.0,0.0,0.0,17.0,0.0,-6.78,-6.21,-0.61,79.86,-76.96,-72.76
314.0,0.0,0.0,66.0,0.0,-0.63,0.65,-0.21,-3.54,-7.26,3.29,14.0,0.0,0.0,0.0,0.0,-6.15,-5.06,-0.44,-27.44,-152.95,-154.49
314.0,0.0,0.0,67.0,0.0,-0.7,0.68,-0.16,-1.64,4.88,0.18,8.0,0.0,0.0,0.0,0.0,-5.62,-3.26,-0.85,-141.75,-268.43,-106.08
317.0,0.0,0.0,62.0,0.0,-0.73,0.63,-0.11,-2.31,4.63,-5.0,7.0,0.0,0.0,0.0,0.0,-5.91,-1.91,-0.58,4.45,-207.33,-34.98
341.0,0.0,0.0,25.0,0.0,-0.77,0.68,-0.09,-0.61,-6.46,-3.66,8.0,0.0,0.0,0.0,0.0,-5.37,-1.41,-1.61,45.55,-22.52,-42.97
355.0,0.0,1.0,78.0,0.0,-0.74,0.67,-0.18,15.8,-8.42,-4.69,7.0,0.0,0.0,0.0,0.0,-5.55,-3.66,-1.89,134.42,-187.56,25.45
354.0,0.0,0.0,65.0,0.0,-0.71,0.68,-0.18,2.38,-17.88,-11.23,8.0,0.0,0.0,0.0,1.0,-13.96,-12.89,0.11,51.08,58.75,278.44
356.0,0.0,0.0,59.0,0.0,-0.75,0.65,-0.23,11.1,-6.95,-10.0,13.0,0.0,0.0,0.0,0.0,-5.55,-1.4,-2.68,-317.05,111.36,-318.76
354.0,0.0,0.0,66.0,0.0,-0.76,0.69,-0.19,0.79,2.07,-4.51,10.0,0.0,0.0,0.0,0.0,-4.67,-0.5,-2.95,304.68,274.2,-209.08
