L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,0.0,0.0,0.0,0.0,-0.67,0.73,-0.15,-0.85,7.01,-2.07,105.0,15.0,0.0,0.0,0.0,-3.28,-4.55,-6.3,-161.86,78.91,45.71
0.0,0.0,0.0,0.0,0.0,-0.7,0.78,-0.16,-2.25,-5.24,-5.49,108.0,14.0,0.0,0.0,0.0,-4.01,-4.99,-7.28,-197.63,152.46,-94.48
0.0,0.0,0.0,0.0,0.0,-0.67,0.78,-0.18,-9.21,-6.34,1.03,105.0,14.0,0.0,0.0,0.0,-4.56,-5.44,-7.9,-220.58,194.51,-205.38
0.0,0.0,0.0,0.0,0.0,-0.65,0.72,-0.2,-6.53,-0.54,6.53,103.0,14.0,0.0,0.0,0.0,-5.09,-5.83,-8.04,-171.56,229.98,326.87
0.0,0.0,0.0,0.0,0.0,-0.64,0.69,-0.19,-6.59,3.47,-0.48,96.0,11.0,0.0,0.0,0.0,-5.45,-6.0,-8.39,-161.92,266.54,177.64
0.0,0.0,0.0,0.0,0.0,-0.7,0.74,-0.16,0.85,-3.47,-6.28,91.0,10.0,0.0,0.0,0.0,-5.78,-6.19,-8.72,-170.16,-286.47,-19.26
0.0,0.0,0.0,0.0,0.0,-0.67,0.73,-0.2,2.56,-1.28,1.52,84.0,10.0,0.0,0.0,0.0,-5.63,-5.82,-8.58,-128.78,-168.79,-307.59
0.0,0.0,0.0,0.0,0.0,-0.69,0.7,-0.13,1.77,-1.89,-4.21,76.0,10.0,0.0,0.0,0.0,-6.66,-5.9,-8.2,-70.43,-116.67,148.07
0.0,0.0,0.0,0.0,0.0,-0.63,0.72,-0.19,-0.54,5.18,2.01,62.0,10.0,0.0,0.0,0.0,-6.69,-7.15,-7.64,4.15,34.27,250.12
0.0,0.0,0.0,0.0,0.0,-0.65,0.71,-0.17,1.64,2.92,-3.78,34.0,9.0,0.0,0.0,0.0,-5.99,-5.29,-7.24,6.65,-33.17,175.23
