L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,367.0,0.0,81.0,0.0,0.22,0.68,-0.71,-1.58,-0.48,-0.67,0.0,0.0,0.0,0.0,0.0,1.8,-1.01,-7.82,-166.29,-29.72,1.64
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,0.0,0.0,0.0,0.0,1.82,-1.04,-8.35,294.43,129.63,47.3
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,9.0,0.0,0.0,0.0,1.36,-0.97,-9.03,197.02,287.35,36.01
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,0.0,0.0,0.0,0.0,1.52,-1.24,-9.03,111.57,-303.5,21.85
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,10.0,0.0,0.0,0.0,1.87,-1.11,-9.89,130.92,-111.79,85.26
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,68.0,0.0,0.0,0.0,1.42,-1.24,-10.15,175.41,80.66,102.05
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,113.0,0.0,0.0,0.0,1.33,-1.26,-10.34,297.3,187.35,165.03
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,157.0,0.0,0.0,0.0,1.44,-1.32,-10.33,-270.84,240.57,170.47
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,162.0,0.0,0.0,0.0,2.48,0.67,-10.76,-274.57,324.01,158.2
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,167.0,0.0,0.0,7.0,0.75,-1.39,-10.54,-148.28,-130.67,136.47
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,0.0,142.0,0.0,26.0,77.0,0.25,-0.76,-10.31,14.19,-86.3,132.69
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,74.0,164.0,0.0,78.0,123.0,-0.91,0.54,-10.39,-39.58,-11.47,116.02
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,207.0,184.0,0.0,123.0,211.0,-0.75,0.99,-9.79,-223.91,64.76,73.97
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,352.0,201.0,0.0,256.0,373.0,-2.04,1.38,-9.16,280.63,42.97,47.72
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,412.0,223.0,0.0,399.0,474.0,-2.28,1.12,-8.13,286.07,-50.04,141.29
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,398.0,238.0,0.0,459.0,537.0,-2.4,0.5,-8.84,222.9,7.7,57.8
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,497.0,227.0,0.0,534.0,597.0,-2.29,0.15,-8.32,251.83,-167.84,45.83
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,555.0,258.0,0.0,604.0,691.0,-2.69,0.61,-7.89,231.38,-103.57,62.98
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,569.0,255.0,0.0,633.0,708.0,-3.32,0.49,-7.33,231.99,-85.02,54.38
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,569.0,281.0,0.0,664.0,739.0,-2.82,0.17,-6.42,-128.08,-91.67,97.59
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,567.0,270.0,0.0,680.0,758.0,-2.81,1.18,-5.76,-132.54,-29.05,104.12
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,582.0,291.0,0.0,692.0,765.0,-3.22,0.9,-5.29,-250.21,-12.69,92.4
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,587.0,301.0,0.0,703.0,757.0,-3.62,0.86,-4.62,-185.64,-26.3,138.12
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,607.0,314.0,0.0,710.0,761.0,-3.91,1.11,-3.5,-95.0,-43.02,153.68
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,626.0,318.0,0.0,713.0,753.0,-4.31,1.25,-2.95,-24.2,-89.23,223.93
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,638.0,323.0,0.0,718.0,758.0,-4.75,1.27,-2.06,2.59,-178.64,252.56
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,646.0,324.0,0.0,720.0,758.0,-5.55,1.26,-2.0,-9.98,314.61,196.77
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,646.0,319.0,0.0,720.0,766.0,-5.99,1.56,-1.41,-69.43,219.57,185.48
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,652.0,312.0,0.0,723.0,769.0,-6.21,1.7,-1.32,-149.08,187.41,179.44
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,670.0,307.0,0.0,718.0,770.0,-7.12,1.48,-1.22,-138.46,61.68,163.33
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,669.0,292.0,0.0,713.0,770.0,-7.14,1.64,-0.97,-128.63,-26.82,192.87
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,669.0,292.0,0.0,708.0,765.0,-7.27,1.61,-1.09,-142.85,-81.45,193.78
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,675.0,275.0,0.0,704.0,762.0,-7.46,1.71,-0.9,-187.77,-136.08,259.82
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,677.0,280.0,0.0,700.0,761.0,-7.64,1.57,-0.72,322.14,-178.31,226.07
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,682.0,280.0,7.0,699.0,760.0,-7.79,1.19,-0.56,282.77,-252.66,206.54
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,676.0,275.0,7.0,695.0,753.0,-7.66,1.13,-0.4,276.12,300.72,156.61
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,676.0,276.0,8.0,689.0,746.0,-7.5,1.12,-0.36,256.65,240.35,119.32
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,686.0,281.0,12.0,685.0,739.0,-7.59,1.19,-0.66,189.33,214.66,136.77
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,681.0,276.0,8.0,685.0,743.0,-8.01,0.97,-0.25,140.99,124.75,101.44
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,669.0,281.0,14.0,689.0,743.0,-7.83,0.8,-0.53,81.23,23.86,58.77
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,669.0,285.0,61.0,688.0,740.0,-7.77,0.9,-0.83,42.35,-44.25,25.51
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,671.0,296.0,75.0,683.0,734.0,-7.44,0.93,-1.15,6.22,-27.83,11.9
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,670.0,311.0,83.0,680.0,729.0,-8.08,1.2,-1.55,-48.4,-29.84,-19.1
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,674.0,308.0,92.0,673.0,708.0,-8.12,1.12,-1.6,-90.08,-89.47,-66.89
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,652.0,312.0,97.0,663.0,703.0,-7.67,1.3,-1.51,-138.91,-109.25,-83.31
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,638.0,317.0,100.0,660.0,694.0,-7.3,1.56,-1.58,-177.61,-59.75,-66.28
0.0,260.0,0.0,77.0,0.0,0.23,0.69,-0.71,-2.38,-0.36,-1.03,632.0,322.0,14.0,638.0,680.0,-7.8,1.81,-2.41,-109.55,-89.84,-27.03
