L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,56.0,0.0,27.0,0.0,-0.63,0.72,-0.29,-0.48,0.97,-0.3,0.0,0.0,0.0,0.0,0.0,-3.09,-7.14,-8.9,76.75,-284.15,-181.94
0.0,33.0,0.0,25.0,0.0,-0.62,0.69,-0.28,-0.12,2.68,-7.14,0.0,0.0,0.0,0.0,0.0,-3.18,-5.87,-8.47,102.39,-175.75,-201.9
0.0,37.0,0.0,27.0,0.0,-0.67,0.72,-0.26,8.3,4.76,-1.4,0.0,0.0,0.0,0.0,6.0,-3.38,-5.06,-8.49,12.05,53.5,-193.96
0.0,35.0,0.0,25.0,0.0,-0.66,0.72,-0.29,-4.82,-9.94,-4.94,0.0,0.0,0.0,0.0,0.0,-3.49,-5.03,-7.88,-139.31,213.35,-246.64
0.0,36.0,0.0,27.0,0.0,-0.62,0.71,-0.31,0.18,2.86,0.12,0.0,0.0,0.0,0.0,0.0,-3.38,-5.43,-8.29,-79.13,-281.73,-277.34
0.0,33.0,0.0,27.0,0.0,-0.64,0.71,-0.28,-1.28,-2.44,-5.12,0.0,0.0,0.0,0.0,0.0,-4.21,-5.42,-7.86,177.52,-248.53,-324.95
0.0,52.0,0.0,26.0,0.0,-0.63,0.72,-0.28,3.9,4.15,1.28,0.0,0.0,0.0,0.0,0.0,-4.44,-4.57,-7.41,-252.8,-253.72,309.66
0.0,52.0,0.0,26.0,0.0,-0.63,0.72,-0.28,3.9,4.15,1.28,3.0,0.0,0.0,0.0,0.0,-5.42,-4.12,-6.49,-189.33,302.58,249.3
0.0,52.0,0.0,26.0,0.0,-0.63,0.72,-0.28,3.9,4.15,1.28,19.0,0.0,0.0,0.0,0.0,-4.63,-3.09,-6.85,-44.98,-320.25,299.22
0.0,52.0,0.0,26.0,0.0,-0.63,0.72,-0.28,3.9,4.15,1.28,16.0,0.0,0.0,0.0,0.0,-6.99,-3.33,-5.54,-0.42,123.87,-301.39
